Year,Day,DOY,Hour,Irradiance,Temp,Rain,Wind,Rel_hum,SD
1999,182,182,7,950.4,12.6,0,0.8,90.7,1.355050696
1999,182,182,8,1296,14.3,0,0.9,83.3,2.718370097
1999,182,182,9,2669.76,16.2,0,1,77.8,4.082836384
1999,182,182,10,3291.84,17.4,0,1.3,74.2,5.120419168
1999,182,182,11,2833.92,18,0,1.7,72,5.771193541
1999,182,182,12,2609.28,18.2,0,2.1,72.2,5.802420475
1999,182,182,13,2134.08,17.4,0.2,2.7,77.6,4.445635247
1999,182,182,14,2894.4,16.1,0,2.8,92.5,1.370565274
1999,182,182,15,3559.68,17.6,0,2.1,83.8,3.255992127
1999,182,182,16,829.44,17.2,0,1.8,83.6,3.213945566
1999,182,182,17,2108.16,18.3,0,1.4,81.5,3.885628929
1999,182,182,18,2548.8,19.5,0,2.3,76.2,5.387699141
1999,182,182,19,1149.12,19,0,2,76.8,5.090898017
1999,182,182,20,60.48,18,0,1.4,82.2,3.66883018
1999,182,182,21,0,17.1,0,1.8,88.1,2.317356352
1999,182,182,22,0,15.5,0,1,96.2,0.668271251
1999,182,182,23,0,14.6,0,0.9,98.2,0.298736905
1999,183,183,0,0,14.1,0,0.8,100,0
1999,183,183,1,0,13.2,0,0.8,100,0
1999,183,183,2,0,13.1,0,0.8,100,0
1999,183,183,3,0,12.6,0,0.8,100,0
1999,183,183,4,0,12.7,0,0.8,100,0
1999,183,183,5,0,12.3,0,0.8,100,0
1999,183,183,6,77.76,12.4,0,0.8,100,0
1999,183,183,7,794.88,14.1,0.1,0.8,100,0
1999,183,183,8,1624.32,16.5,0,0.8,94.4,1.049773376
1999,183,183,9,1848.96,17.7,0,1,90,2.022583072
1999,183,183,10,2730.24,19.1,0,1.2,84.3,3.466684162
1999,183,183,11,3412.8,20.3,0,1.5,75.8,5.756579727
1999,183,183,12,5322.24,21.9,0,1.3,71.2,7.557682338
1999,183,183,13,5702.4,22.8,0,1.4,68,8.869609122
1999,183,183,14,5961.6,23.7,0,1.4,64.9,10.27202636
1999,183,183,15,4950.72,24.3,0,1.3,63.9,10.95205682
1999,183,183,16,4544.64,25.3,0,0.9,63.7,11.68966568
1999,183,183,17,3948.48,25.8,0,0.9,60.7,13.03669949
1999,183,183,18,2911.68,26,0,0.9,59.5,13.59465799
1999,183,183,19,2194.56,26.2,0,0.9,59.6,13.72223925
1999,183,183,20,1131.84,25.3,0,0.8,61.1,12.52694201
1999,183,183,21,267.84,23.6,0,0.8,68.4,9.192264627
1999,183,183,22,0,20,0,0.8,82.9,3.992913576
1999,183,183,23,0,19.2,0,0.9,86,3.11063289
1999,184,184,0,0,17.8,0,0.8,90.9,1.852181961
1999,184,184,1,0,18.1,0,1,86.6,2.779341236
1999,184,184,2,0,18.1,0,1.2,84.8,3.152685582
1999,184,184,3,0,18.2,0,1.2,83.2,3.506498705
1999,184,184,4,0,18.9,0,1.6,79.2,4.535857701
1999,184,184,5,0,18.7,0,1.6,80.8,4.134950464
1999,184,184,6,95.04,18.6,0,1.6,81.6,3.937950223
1999,184,184,7,673.92,20.2,0,1.4,77.3,5.366510474
1999,184,184,8,1425.6,21.9,0,1.2,73.5,6.954117429
1999,184,184,9,2514.24,22.9,0,1.7,71.7,7.891700783
1999,184,184,10,2833.92,22.8,0,2.2,76.1,6.624489313
1999,184,184,11,2877.12,22.7,0,3.5,78.3,5.978366584
1999,184,184,12,2393.28,22.5,0,2.7,79.7,5.525217494
1999,184,184,13,4691.52,23.5,0,2.8,68.4,9.137069766
1999,184,184,14,4544.64,23.6,0,3.3,69.1,8.988638512
1999,184,184,15,3024,23.2,0,2.7,72.5,7.808970304
1999,184,184,16,3559.68,23.3,0,2.7,76.2,6.799228531
1999,184,184,17,1745.28,22.4,0,2.1,77.4,6.113979836
1999,184,184,18,1961.28,22.8,0,2.1,75.3,6.846229541
1999,184,184,19,1071.36,22,0,2,75.8,6.389391122
1999,184,184,20,673.92,21.6,0,1.1,77.9,5.69419402
1999,184,184,21,224.64,20.9,0,0.8,83.2,4.146799133
1999,184,184,22,0,18.7,0,0.8,89.6,2.239764834
1999,184,184,23,0,17.5,0,0.8,97.3,0.539252181
1999,185,185,0,0,17,0,0.8,99.1,0.174155583
1999,185,185,1,0,16.7,0,0.8,100,0
1999,185,185,2,0,16.3,0,0.8,100,0
1999,185,185,3,0,16,0,0.8,100,0
1999,185,185,4,0,15.4,0,0.8,100,0
1999,185,185,5,0,15.4,0,1,100,0
1999,185,185,6,17.28,16.5,0,0.8,100,0
1999,185,185,7,509.76,17.6,0,0.8,97.3,0.542665355
1999,185,185,8,466.56,18.7,0,0.8,94.6,1.162954818
1999,185,185,9,561.6,18.9,0,0.8,95.5,0.981315368
1999,185,185,10,1684.8,19.8,0.2,0.8,94.7,1.222331452
1999,185,185,11,2833.92,21.5,0,0.9,86.5,3.457145069
1999,185,185,12,1693.44,21.7,0,1,83,4.406999584
1999,185,185,13,2401.92,22.3,0,1.3,81.2,5.055144829
1999,185,185,14,855.36,22.5,0,1.1,79.2,5.661306595
1999,185,185,15,3801.6,22.6,0,1.1,76.8,6.352973924
1999,185,185,16,3922.56,24.3,0,1.2,65.3,10.52732332
1999,185,185,17,2453.76,24.6,0,1,64.8,10.87236482
1999,185,185,18,1062.72,22.9,0.3,0.8,72.4,7.696499703
1999,185,185,19,682.56,21.5,0,0.8,84.1,4.071748636
1999,185,185,20,224.64,19.7,0.6,1.1,92.9,1.627338819
1999,185,185,21,0,18.5,5.9,2.7,97.3,0.574245177
1999,185,185,22,0,16.4,26.9,3.6,100,0
1999,185,185,23,0,16.5,4.1,3.1,100,0
1999,186,186,0,0,15.9,0.1,2.4,100,0
1999,186,186,1,0,16,0,2.5,100,0
1999,186,186,2,0,15.8,0,1.6,100,0
1999,186,186,3,0,16,0,2.2,100,0
1999,186,186,4,0,15.4,6.7,2.8,100,0
1999,186,186,5,0,15.1,0.9,2,100,0
1999,186,186,6,0,15,0.8,1.5,100,0
1999,186,186,7,17.28,14.9,0.1,2.2,100,0
1999,186,186,8,120.96,14.5,0.3,2.4,100,0
1999,186,186,9,950.4,14.8,0.7,2.3,96.9,0.521174429
1999,186,186,10,2730.24,15.8,0.1,2.8,91.7,1.487961836
1999,186,186,11,3620.16,17,0,1.6,84.1,3.076748631
1999,186,186,12,4475.52,18.1,0,1.9,82.3,3.671219394
1999,186,186,13,4596.48,19,0,2.2,77.6,4.91534981
1999,186,186,14,5374.08,20.3,0,2.1,72.6,6.517780352
1999,186,186,15,4034.88,20.7,0,1.3,70.6,7.168162216
1999,186,186,16,3214.08,21.5,0,1.1,69.5,7.810587007
1999,186,186,17,2730.24,21.3,0,1.2,71.6,7.184287585
1999,186,186,18,1477.44,21.1,0,0.9,72.3,6.921790302
1999,186,186,19,1252.8,21.2,0,0.8,73.1,6.763248255
1999,186,186,20,777.6,20.8,0,0.8,76.8,5.691426425
1999,186,186,21,207.36,19,0,0.8,86,3.072093631
1999,186,186,22,0,16.5,0,0.8,95.3,0.881059797
1999,186,186,23,0,15.4,0,0.8,99.2,0.139789084
1999,187,187,0,0,15,0,0.9,100,0
1999,187,187,1,0,14.7,0,0.8,100,0
1999,187,187,2,0,14.2,0,1,100,0
1999,187,187,3,0,14,0,0.8,100,0
1999,187,187,4,0,13.9,0,0.8,100,0
1999,187,187,5,0,13.2,0,0.8,100,0
1999,187,187,6,17.28,13.2,0,0.8,100,0
1999,187,187,7,207.36,13.9,0,0.8,100,0
1999,187,187,8,743.04,15.4,0,1,100,0
1999,187,187,9,1356.48,16.9,0,0.9,97.2,0.538393477
1999,187,187,10,3602.88,19.4,0,1.2,86.1,3.127097334
1999,187,187,11,2730.24,19.6,0,1.5,83.9,3.667329508
1999,187,187,12,2877.12,20.3,0,1.4,81.4,4.424478633
1999,187,187,13,2471.04,19.9,0,1.4,80.4,4.548420162
1999,187,187,14,2341.44,19.6,0,1.4,80.3,4.487353498
1999,187,187,15,4985.28,20.5,0,1.6,77.4,5.442737891
1999,187,187,16,2220.48,20.7,0,0.9,75.2,6.046613026
1999,187,187,17,2609.28,21.5,0,1,71.7,7.247200403
1999,187,187,18,889.92,20.4,0,1.1,80.6,4.643354478
1999,187,187,19,1062.72,19.4,0,1.8,86.9,2.947120509
1999,187,187,20,950.4,18.4,1.1,1.3,91.9,1.71197602
1999,187,187,21,354.24,17.5,0,1.4,96.3,0.738975211
1999,187,187,22,0,16.3,0,1.4,100,0
1999,187,187,23,0,15.9,0,1,100,0
1999,188,188,0,0,15.6,0,1.1,100,0
1999,188,188,1,0,15.5,0,0.9,100,0
1999,188,188,2,0,15.5,0,0.8,100,0
1999,188,188,3,0,15.2,0,0.8,100,0
1999,188,188,4,0,14.8,0,0.8,100,0
1999,188,188,5,0,14.6,0,0.8,100,0
1999,188,188,6,17.28,14.5,0,0.8,100,0
1999,188,188,7,328.32,14.6,0,0.8,100,0
1999,188,188,8,475.2,14.3,0,0.8,100,0
1999,188,188,9,1252.8,14.8,0,0.8,100,0
1999,188,188,10,1373.76,15.5,0,1.8,98.8,0.211033027
1999,188,188,11,1598.4,16.1,0,2.2,96,0.730968146
1999,188,188,12,241.92,15.6,4.9,1.3,96.9,0.548674253
1999,188,188,13,241.92,15.3,4.9,0.9,99.8,0.034723633
1999,188,188,14,1131.84,15.5,0.9,1,99.8,0.035172171
1999,188,188,15,3646.08,17.3,0,1.3,95.1,0.966356556
1999,188,188,16,3464.64,18.3,0,1.5,89.9,2.121343361
1999,188,188,17,3499.2,19.4,0,1.5,82.5,3.936993046
1999,188,188,18,2134.08,19.4,0,1.4,82.5,3.936993046
1999,188,188,19,1537.92,19.4,0,1.1,79.2,4.679397449
1999,188,188,20,855.36,19.2,0,0.8,80.7,4.288229627
1999,188,188,21,146.88,17.4,0,0.8,89.6,2.064044936
1999,188,188,22,0,16.5,0,1,92,1.499676251
1999,188,188,23,0,16.5,0,1.2,94.1,1.106011235
1999,189,189,0,0,15.3,0,0.8,97.9,0.364598143
1999,189,189,1,0,16.2,0,1.1,98.8,0.220693859
1999,189,189,2,0,16.4,0,1.1,99.8,0.037254053
1999,189,189,3,0,16.5,0,1.3,99.8,0.037491906
1999,189,189,4,0,16.3,0,1.7,99.8,0.037017523
1999,189,189,5,0,16.1,0,1.2,100,0
1999,189,189,6,0,15.9,0,0.8,100,0
1999,189,189,7,406.08,16.1,0,0.8,98.8,0.219290444
1999,189,189,8,1356.48,16.9,0,1.1,92.3,1.480582061
1999,189,189,9,2401.92,17.5,0,1.2,87,2.596399389
1999,189,189,10,3058.56,18.2,0,1.2,82,3.756962898
1999,189,189,11,4570.56,19.6,0,1.4,79.3,4.715137939
